UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive
3540e80b-efdd-4b8c-8d27-6e1723d39a32,1.0,OP,46.0,1.0,1.0,152.0,2.0,0.0,2.0,1.0,10.0,0.0,492.0,417.0,75.0,iGoogle,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,33.0,75.0,3.0,3.0,3.0,2.0,20.0,54.0,http://golfballsonline.com/html/4about_us.html,144.0,0.0
8e441f5e-44de-4a59-a505-9990c927d628,1.0,OP,854.0,13.0,5.0,69.0,20.0,8.0,12.0,1.0,1.0,0.0,2074.0,692.0,1382.0,Americanas.com - A maior loja. Os menores preÃ§os.,0.0,0.0,0.0,0.0,55.0,54.0,0.0,0.0,78.0,60.0,5.0,8.0,6.0,2.0,1583.0,5169.0,http://mix-bom-preco.com/review.php,22.0,0.0
6377f7c3-ecde-4a8f-a4b1-a46b8d829cfb,1.0,OP,22.0,2.0,0.0,23.0,2.0,1.0,1.0,1.0,5.0,0.0,91.0,85.0,6.0,OurTime.com - The 50+ Single Network,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,67.0,3.0,3.0,3.0,2.0,92.0,142.0,http://www.catherinecassel.com/bridget/Ourtime/ourtime.php,8.0,1.0
a522e422-dad5-4045-a556-0718defe31b6,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531/,0.0,1.0
6b5b411a-7c7c-40c5-8dc1-c79eac4ad30b,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/df927a4c1764bf2099b261905a8e3b3b/,0.0,1.0
4dc835fb-98e3-4e37-bc41-c7953b180e3a,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/3b7dc83ba14116a9ff8ed3029ee65408/,0.0,1.0
802ec4db-65e1-4cc0-893d-f5f0fe231ef2,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/7006ca8df78b4db74361baa90eaa1331/,0.0,1.0
8c4daddb-a1e2-48e3-9de3-7707996627d6,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/9f8a975212a9e395bec4c0c8e3d86018/,0.0,1.0
97802365-8d77-4ebb-ae61-8ae45bd004ec,1.0,OP,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,4.0,BÅ‚Ä…d 403 - Blokada administracyjna.,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,24.0,24.0,http://tvpinformacje1.eu/mobile/,1.0,0.0
2f57f721-4bcf-4c95-994a-60c6059336e1,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/7f27157326be1be979463601329eab1c/,0.0,1.0
