UUID,label,source,folder,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,Cookies,URL,OutGoingLinks,JSGlobalVar,secure,session,httponly,session & httponly,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,sensitive
a7e3c9d1-923e-4df4-b3e4-8f7c2b9041c5,1.0,PT,20200827,9.0,0.0,0.0,67.0,67.0,3.0,3.0,3.0,3.0,111.0,112.0,0.0,http://help-center-instagram.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,66.0,66.0,0.0,Verified Badge | Help Instagram,1.0
9e406bcd-9b94-4cfa-9fb8-6ee9fd486248,1.0,PT,20200827,9.0,0.0,0.0,67.0,67.0,3.0,3.0,3.0,3.0,111.0,112.0,0.0,http://www.instalocaltick.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,66.0,66.0,0.0,Verified Badge | Help Instagram,1.0
04b1d816-baec-4e9a-aaf2-ccfb8abd6c65,1.0,PT,20200827,43.0,0.0,0.0,28.0,67.0,6.0,7.0,6.0,4.0,1133.0,1561.0,2.0,http://www.instagramvideo.epizy.com/?i=1,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
aee2c18c-abd9-470f-868e-cd1a71996707,1.0,PT,20200827,12.0,0.0,0.0,8.0,67.0,5.0,6.0,3.0,2.0,35.0,40.0,1.0,http://www.instagramhesapdestek.epizy.com/?i=1,7.0,1.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,14.0,0.0,0.0,0.0,2.0,9.0,0.0,120.0,51.0,69.0,Verified Badges | Instagram Help Center,0.0
7ab607cb-d3c6-4886-9c72-f0a1290501da,1.0,PT,20200827,10.0,0.0,0.0,10.0,50.0,3.0,3.0,3.0,2.0,51.0,83.0,1.0,http://www.takipcingoldr0.epizy.com/?i=1,1.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,12.0,6.0,6.0,1.0,4.0,0.0,45.0,36.0,9.0,Log in â€” Instagram,1.0
a2bd3529-3f59-4252-9e5c-88e73f7082f7,1.0,PT,20200827,9.0,0.0,0.0,33.0,67.0,4.0,4.0,4.0,3.0,271.0,465.0,0.0,http://instagramtakipcimtr.ga/?i=1,1.0,3.0,0.0,0.0,0.0,0.0,37.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,448.0,389.0,59.0,Copyright â€¢ Instagram,0.0
1c569a07-e8d4-42a9-83cd-e5a57fe9049c,1.0,PT,20200827,14.0,0.0,0.0,79.0,80.0,4.0,5.0,4.0,4.0,471.0,635.0,1.0,http://www.ig-verifybadge.epizy.com/login/,15.0,3.0,0.0,0.0,0.0,0.0,28.0,7.0,1.0,16.0,2.0,1.0,1.0,1.0,2.0,0.0,281.0,210.0,71.0,Instagram,1.0
2790ecad-af6c-414c-b705-9ae50e5489a2,1.0,PT,20200827,9.0,0.0,0.0,33.0,67.0,4.0,4.0,4.0,3.0,271.0,465.0,0.0,http://instagramhelpteam.epizy.com/?i=1,1.0,3.0,0.0,0.0,0.0,0.0,37.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,448.0,389.0,59.0,Copyright â€¢ Instagram,0.0
784c6cd9-3442-4110-8017-0079db17427d,1.0,PT,20200827,9.0,0.0,0.0,67.0,67.0,3.0,3.0,3.0,3.0,111.0,112.0,1.0,http://www.insstagram.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,66.0,66.0,0.0,Verified Badge | Help Instagram,1.0
3322dbba-637d-48bf-a80c-f505085bc9e5,1.0,PT,20200827,9.0,0.0,0.0,67.0,67.0,3.0,3.0,3.0,3.0,111.0,112.0,1.0,http://www.tjhuyg87j.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,66.0,66.0,0.0,Verified Badge | Help Instagram,1.0
e1dc5d8d-a12e-4518-aca8-99deba245eb2,1.0,PT,20200827,9.0,0.0,0.0,67.0,67.0,3.0,3.0,3.0,3.0,111.0,112.0,1.0,http://www.mavitikinsta.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
91943fb6-d1a2-48a6-8737-7c70a2bc190b,1.0,PT,20200827,9.0,0.0,0.0,33.0,50.0,5.0,5.0,5.0,4.0,239.0,419.0,0.0,http://www.bluebadge-instagram.epizy.com/?i=1,1.0,3.0,0.0,0.0,0.0,0.0,36.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,450.0,394.0,56.0,Verified Badges â€¢ Instagram,0.0
3d0f4319-0dd7-43b3-8396-196faf7ab5f2,1.0,PT,20200827,9.0,0.0,0.0,67.0,67.0,3.0,3.0,3.0,3.0,110.0,112.0,1.0,http://instagram--bluebadge.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
33a77edb-5674-4c0a-8199-c93a8e95d0f3,1.0,PT,20200827,10.0,0.0,0.0,30.0,67.0,3.0,3.0,4.0,3.0,326.0,1110.0,1.0,http://www.instagramaccountverify.epizy.com/login,4.0,3.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,12.0,2.0,2.0,0.0,1.0,2.0,0.0,211.0,150.0,61.0,,1.0
62569df2-68ee-4a21-8654-06ac6bb01183,1.0,PT,20200827,8.0,0.0,0.0,63.0,50.0,2.0,2.0,2.0,2.0,77.0,78.0,1.0,http://www.instagram-verified-badge.epizy.com/verifybadge.php?username=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,56.0,56.0,0.0,Blue Badge,1.0
9d6dd5b7-6554-433c-9213-8211c52a82f9,1.0,PT,20200827,7.0,0.0,0.0,57.0,33.0,3.0,3.0,3.0,3.0,87.0,90.0,1.0,http://lnstagram-fromverifybadge.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,4.0,1.0,81.0,80.0,1.0, @IDIOT_ASSHOLE Instagram,1.0
f39e4a9d-935d-4561-a63d-a4653705e2a2,1.0,PT,20200827,7.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,34.0,40.0,1.0,http://www.tolkao.epizy.com/?i=1,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,8.0,3.0,5.0,1.0,4.0,0.0,44.0,35.0,9.0,Log in â€” Instagram,1.0
ebbd21ad-5035-4a28-a678-d8e97083b2fb,1.0,PT,20200827,9.0,0.0,0.0,67.0,67.0,3.0,3.0,3.0,3.0,111.0,112.0,1.0,http://www.lnstagramverifybadges.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,66.0,66.0,0.0,Verified Badge | Help Instagram,1.0
724c85b6-990f-483b-a4e4-add07b71afd4,1.0,PT,20200827,17.0,0.0,0.0,82.0,75.0,3.0,4.0,3.0,3.0,716.0,2360.0,0.0,http://instagram-password.epizy.com/?i=1,15.0,2.0,0.0,0.0,0.0,0.0,35.0,1.0,1.0,16.0,12.0,12.0,0.0,1.0,4.0,0.0,351.0,265.0,86.0,Change Password â€¢ Instagram,1.0
49444862-64c9-4bce-aaf3-1527d27d8b1c,1.0,PT,20200827,9.0,0.0,0.0,33.0,67.0,4.0,4.0,4.0,3.0,271.0,465.0,0.0,http://www.lnstagrambluebadge.epizy.com/?i=1,1.0,3.0,0.0,0.0,0.0,0.0,37.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,448.0,389.0,59.0,Review and Agree â€¢ Instagram,0.0
815c65d5-65d8-4551-b3ff-2e966e10f334,1.0,PT,20200827,43.0,0.0,0.0,28.0,67.0,6.0,7.0,6.0,4.0,1113.0,1543.0,2.0,http://www.instagramphotos.epizy.com/?i=1,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
20f4714b-06c5-407b-a2ac-394991295e25,1.0,PT,20200827,9.0,0.0,0.0,67.0,33.0,3.0,3.0,3.0,3.0,111.0,112.0,0.0,http://www.helpcenter-lnstagram.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,66.0,66.0,0.0,Verified Badge | Help Instagram,1.0
50be0720-13ea-4de5-bad6-e77fa95ea6b9,1.0,PT,20200827,7.0,0.0,0.0,57.0,67.0,3.0,3.0,3.0,3.0,88.0,90.0,1.0,http://www.lnstagramsupporthelpcenter.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,4.0,1.0,81.0,80.0,1.0, @IDIOT_ASSHOLE Instagram,1.0
92ee42fe-9f93-4786-88c2-5359b905a9fb,1.0,PT,20200827,6.0,0.0,0.0,50.0,50.0,2.0,2.0,2.0,2.0,59.0,61.0,1.0,http://www.confirmhelper.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,64.0,64.0,0.0,Copyright | help Instagram,1.0
86cb8fc7-0528-412a-aeb5-4d7e21ab4798,1.0,PT,20200827,7.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,34.0,40.0,1.0,http://www.legiun404.epizy.com/?i=1,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,8.0,3.0,5.0,1.0,4.0,0.0,44.0,35.0,9.0,Log in â€” Instagram,1.0
779511a8-0ac9-4bdf-9504-bc1e4bee7178,1.0,PT,20200827,9.0,0.0,0.0,33.0,50.0,5.0,5.0,5.0,4.0,239.0,419.0,0.0,http://www.instaonay.epizy.com/?i=1,1.0,3.0,0.0,0.0,0.0,0.0,36.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,450.0,394.0,56.0,Verified Badges â€¢ Instagram,0.0
c8277aab-f899-41dd-9c6d-e39e2d49ff8e,1.0,PT,20200827,7.0,0.0,0.0,57.0,67.0,3.0,3.0,3.0,3.0,87.0,90.0,1.0,http://www.lnstagrambluebadgeverified.epizy.com/form.php?nick=IDIOT_ASSHOLE,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,4.0,1.0,81.0,80.0,1.0, @IDIOT_ASSHOLE Instagram,1.0
70326f43-022f-4984-8427-f264788eccbb,1.0,PT,20200827,2.0,0.0,0.0,100.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,https://empresa-interlbank-pe.com/login/,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,Bienvenido,0.0
33e9d68a-1fb9-40a6-83e0-407071752505,1.0,PT,20200827,1.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,https://persona-zonavirtualbn1.com/WebBN1/Inicio/,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,404 Not Found,0.0
426a6656-6e18-41fc-8c9e-2d29c74c4180,1.0,PT,20200827,19.0,0.0,0.0,100.0,0.0,1.0,1.0,2.0,1.0,565.0,581.0,0.0,https://web.viabetzonasegurasbcp.com/.pe,0.0,18.0,0.0,0.0,0.0,0.0,65.0,41.0,0.0,0.0,13.0,2.0,11.0,2.0,10.0,0.0,168.0,66.0,102.0,,1.0
e703d538-9c6a-4b9f-af40-a224894f7a58,1.0,PT,20200827,9.0,0.0,0.0,100.0,67.0,6.0,6.0,7.0,4.0,76.0,258.0,8.0,https://micro-soft-portal.nw.r.appspot.com/,4.0,6.0,8.0,4.0,6.0,4.0,39.0,4.0,1.0,6.0,3.0,1.0,2.0,2.0,22.0,0.0,99.0,64.0,35.0,Sign in to your account,1.0
5841bbb7-399c-4971-a866-60937df6ae92,1.0,PT,20200827,9.0,0.0,0.0,89.0,67.0,6.0,6.0,7.0,4.0,76.0,258.0,8.0,http://micro-soft-portal.nw.r.appspot.com/,4.0,6.0,8.0,4.0,6.0,4.0,39.0,4.0,1.0,6.0,3.0,1.0,2.0,2.0,22.0,0.0,99.0,64.0,35.0,Sign in to your account,1.0
f0eef8aa-cbc5-4a5b-b764-3b8ce983fcba,1.0,PT,20200827,5.0,0.0,0.0,100.0,50.0,3.0,3.0,2.0,2.0,274.0,473.0,0.0,https://www.grubsexwhatsapp61.25u.com/,21.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,25.0,94.0,WhatsApp Group Invite,0.0
c01f7f36-9e67-4219-8b97-e210c57329a7,1.0,PT,20200827,17.0,0.0,0.0,76.0,80.0,9.0,10.0,11.0,4.0,380.0,1100.0,1.0,http://a-3-d-w-s-s.dt.r.appspot.com/,1.0,10.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,6.0,15.0,9.0,6.0,1.0,2.0,0.0,91.0,70.0,21.0,Sign in to your account,1.0
1d62670f-1f41-43fb-8de2-34e0a5437495,1.0,PT,20200827,9.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,113.0,444.0,1.0,https://amsdsa12dsbdl.yhrmktf.cn/pc/,10.0,9.0,0.0,1.0,0.0,0.0,36.0,1.0,0.0,11.0,8.0,3.0,5.0,2.0,11.0,0.0,102.0,39.0,63.0,Amazonã‚µã‚¤ãƒ³ã‚¤ãƒ³,1.0
0ae2c7fd-5b97-4d65-b7aa-9c09b6f22444,1.0,PT,20200827,5.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,161.0,250.0,0.0,https://opqpygcyjnyvlddmurysztuuoe-dot-glowablu03049033.du.r.appspot.com/,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,11.0,10.0,1.0,Outlook Web App,0.0
63944c5b-8922-4fb6-9515-3e69af0181ca,1.0,PT,20200827,5.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,161.0,250.0,0.0,http://opqpygcyjnyvlddmurysztuuoe-dot-glowablu03049033.du.r.appspot.com/,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,11.0,10.0,1.0,Outlook Web App,0.0
a8892136-d4d5-4ad2-b177-93a828ccd0a9,1.0,PT,20200827,19.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,1860.0,1908.0,0.0,https://stevejons.com/hossy/53.com/,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,68.0,47.0,21.0,Personal Banking | Fifth Third Bank,1.0
bded5186-efe5-4358-ae7a-4a6de731c6bc,1.0,PT,20200827,19.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,1861.0,1908.0,0.0,https://stevejons.com/hossy/53.com/login.php?QOz6joINAknlocNkN2vFw39Vieb66qQJ8DXwSxLfYlRMaLaKuHIzuNyCqEg2zBX4QUrcEwqAwUcdeh6dK7YhaJpR5UeiF87tKoKQWYvjZZKvpvC7rA4qHjczby9ybY37JcgDiMHAZUUW5fNJ4wjlRvMgx2X2kUwFeWQaUpEQR62j8K38aZoZAEHQQnpIgqS9aLad8ln8,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,68.0,47.0,21.0,Personal Banking | Fifth Third Bank,1.0
a77faab8-6d7b-4fea-a311-b9fa14ec4c9c,1.0,PT,20200827,11.0,0.0,0.0,100.0,60.0,5.0,5.0,6.0,2.0,172.0,513.0,0.0,https://crmdprivatedocument-secondary.z15.web.core.windows.net/,0.0,19.0,0.0,0.0,0.0,0.0,20.0,6.0,0.0,1.0,10.0,4.0,6.0,1.0,9.0,0.0,64.0,37.0,27.0,Outlook Web App,1.0
33107167-c213-47f6-98e2-e03144041723,1.0,PT,20200827,11.0,0.0,0.0,45.0,0.0,2.0,3.0,3.0,2.0,173.0,326.0,1.0,http://swfw.tilianyungang.cn/,2.0,5.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,11.0,6.0,4.0,2.0,1.0,3.0,0.0,84.0,22.0,62.0,Amazonãƒ­ã‚°ã‚¤ãƒ³,1.0
8a22b2fb-c3c8-49fc-a568-66e8d5f20c12,1.0,PT,20200827,5.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,161.0,250.0,0.0,https://ajaoawcrewkmxalgptsypljyyzeosxuwvghp-dot-gl494903049.wl.r.appspot.com/,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,11.0,10.0,1.0,Outlook Web App,0.0
86f1d003-d356-4e9d-a176-eac3670e7bc2,1.0,PT,20200827,9.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,129.0,444.0,1.0,https://amazn.shendatrade.com/pc/,10.0,9.0,0.0,1.0,0.0,0.0,36.0,1.0,0.0,11.0,8.0,3.0,5.0,2.0,11.0,0.0,102.0,39.0,63.0,Amazonã‚µã‚¤ãƒ³ã‚¤ãƒ³,1.0
520c521b-05fc-4c0e-b443-9811253ec214,1.0,PT,20200827,6.0,0.0,0.0,83.0,100.0,5.0,5.0,6.0,4.0,113.0,341.0,0.0,http://microdrtxfv3jeoi2iw2z465b7u6e8.rj.r.appspot.com/,0.0,13.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,4.0,3.0,1.0,1.0,4.0,0.0,33.0,17.0,16.0,Sign in to your account,1.0
4cbcac75-f711-42b3-b73c-966dfa9e6cbf,1.0,PT,20200827,23.0,0.0,0.0,100.0,0.0,2.0,2.0,2.0,1.0,239.0,637.0,2.0,http://www.aegeantourtravel.com/cruises/,0.0,45.0,0.0,1.0,0.0,0.0,16.0,4.0,0.0,0.0,10.0,9.0,1.0,1.0,0.0,0.0,98.0,47.0,51.0,| Welcome |,0.0
8702f077-3b19-43fc-a294-3101b2b23dd1,1.0,PT,20200827,5.0,0.0,0.0,20.0,50.0,3.0,3.0,2.0,2.0,277.0,473.0,0.0,http://grubsexwhatsapp61.25u.com/,21.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,25.0,94.0,WhatsApp Group Invite,0.0
3ebcfa0e-ea38-4d33-99a8-3f36fdb981dc,1.0,PT,20200827,5.0,0.0,0.0,100.0,50.0,3.0,3.0,2.0,2.0,274.0,473.0,0.0,https://grubsexwhatsapp61.25u.com/,21.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,25.0,94.0,WhatsApp Group Invite,0.0
756f3ad6-e492-4fab-b9cf-60bcd1825516,1.0,PT,20200827,5.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,161.0,250.0,0.0,http://vxxcdwpvoklpcfqeqyhqbfrypsygmhszyyat-dot-gl494903049.wl.r.appspot.com/,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,11.0,10.0,1.0,Outlook Web App,0.0
243ecb79-cb77-4e76-b163-1b4530ae588e,1.0,PT,20200827,5.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,161.0,250.0,0.0,http://wm-com-securedportal-dot-gl494903049.wl.r.appspot.com/,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,11.0,10.0,1.0,Outlook Web App,0.0
b9df1bce-f0cc-40b0-8e37-b67c71dbe275,1.0,PT,20200827,5.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,161.0,250.0,0.0,https://wm-com-securedportal-dot-gl494903049.wl.r.appspot.com/,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,11.0,10.0,1.0,Outlook Web App,0.0
a2f3cd2e-ab0b-4fea-bb0f-4082256a5797,1.0,PT,20200827,11.0,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,716.0,1253.0,0.0,http://netflix.realscott.fr/,0.0,2.0,0.0,0.0,0.0,0.0,42.0,11.0,0.0,19.0,3.0,2.0,1.0,0.0,2.0,0.0,100.0,20.0,80.0,Netflix,0.0
