UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly
81979294-e4f7-4b8e-969f-4b51e77abc98,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol-chelsea-vs-eintracht-frankfurt-10-mei-2019.html,1.0,0.0,0.0
0bc628a6-5599-4d2b-9feb-437139da2de9,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol-girona-vs-levante-12-mei-2019.html,1.0,0.0,0.0
ab61cbdd-3896-43ae-9217-f632850624bd,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol-hannover-96-vs-sc-freiburg-11-mei-2019.html,1.0,0.0,0.0
9e8f2612-ca6e-4da3-a434-360be84a2fa4,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol-leverkusen-vs-schalke-04-11-mei-2019.html,1.0,0.0,0.0
bca54be7-494f-43e6-96e0-f4da70bfa377,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol-marseille-vs-lyon-13-mei-2019.html,1.0,0.0,0.0
26774423-cac4-4829-a91e-4ab27b66c737,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol-nimes-vs-as-monaco-12-mei-2019.html,1.0,0.0,0.0
3be25f44-5a67-4277-8be7-eafd7bd91203,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol-nurnberg-vs-monchengladbach-11-mei-2019.html,1.0,0.0,0.0
e25fa16c-bd68-4820-bd8b-bbf4548e0094,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol-pss-sleman-vs-arema-fc-15-mei-2019.html,1.0,0.0,0.0
9474221f-2dd5-4114-b5e3-76b1028b17e6,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol-rayo-vallecano-vs-valladolid-12-mei-2019.html,1.0,0.0,0.0
38e93d5b-e7bd-4ec6-ab5d-966bc127ffd9,0.0,CC,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,404 Not Found,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,21.0,http://139.99.6.10/cuplikan-gol/page/2,1.0,0.0,0.0
