UUID,label,source
10f8f0f3-5e4e-47ec-b501-79ec6e79ab10,0.0,CC
ea4d2bb8-5ca4-4c89-ac8f-0f18d25e7523,0.0,CC
a59ed141-bc2d-43bf-a217-675285fe9979,0.0,CC
dbbe4be5-0013-488c-87c8-a984d42711cd,0.0,CC
863fbfcd-c659-4ea8-ad1a-0a21e6c4c3db,0.0,CC
a685d92b-5eba-4260-8122-3494af7aa4f0,0.0,CC
ca623961-48f3-4279-a1e9-2b24b2eb8a64,0.0,CC
9e51ca4b-2b1d-4854-aba1-401edbd7ebd6,0.0,CC
840ae3f7-0b04-4ab8-afed-b98301d4608a,0.0,CC
7e3e214d-9456-4d2a-9d02-2373c73f7c4f,0.0,CC
ae63bd01-19ab-4b25-90ab-9680955fd2af,0.0,CC
1a6344e4-1683-47dc-b91c-552384c3c85d,0.0,CC
c5b5eba8-c2fb-4ad2-a5eb-5b60f7d66103,0.0,CC
7e2b8abd-b3f4-4e51-8edc-e7bb5fcf919e,0.0,CC
45315c9f-5556-409a-a666-318031d3aab8,0.0,CC
9cc89185-6975-4811-895f-26006157452d,0.0,CC
018af309-a56b-4b28-86d9-6827dd574bf4,0.0,CC
626eb011-fa50-45f7-9dc0-c9eec405d479,0.0,CC
f19a746e-f5fc-4bda-bdd3-af231abdbc27,0.0,CC
a6fe3f74-07a4-4407-8f26-7031ac00529c,0.0,CC
65e0e6b3-63c0-4c00-bb91-f9f14ef0e821,0.0,CC
9a4e8dae-0201-46b9-b4d0-c51db23b6254,0.0,CC
3dd4e99c-42cb-448b-9a71-59e0c95459df,0.0,CC
4ee8d474-5302-44af-b25f-52aea4535ed2,0.0,CC
8b1940f8-105c-4c45-bdee-eafc6dad6216,0.0,CC
2bc91d07-0c2a-47a7-93af-40d9afb51c2d,0.0,CC
5a41e44c-176a-45eb-bd3d-5a06bf4f597a,0.0,CC
7ef461b0-15f3-459d-8c20-f7baa8cfe701,0.0,CC
c1bacae7-265d-47cb-b090-a4a239bb8510,0.0,CC
fb8b3007-af3f-4a09-b9cf-ba7623b7e6b8,0.0,CC
3d6cfa76-d846-4f97-92df-62a2a05f79a4,0.0,CC
929306ab-0f42-4a1b-bd02-a5a9afcb681c,0.0,CC
31d132ac-19c7-4118-8fc1-7639ed00a426,0.0,CC
07b311d9-7f56-4990-a83c-f6730cbb636f,0.0,CC
dd50cefc-371b-4790-8dc8-69e324cc5424,0.0,CC
e2de4086-f670-46b8-945f-f787fa97e967,0.0,CC
fbbbcf01-82ff-4f75-8ccc-2c06dc36c387,0.0,CC
0f11a091-ced4-42f2-94cc-7d024418200c,0.0,CC
47a0d22d-4b8f-4d24-aafc-9e28fbac0454,0.0,CC
68203a8f-7fa2-44a4-aa12-47edff1bbf00,0.0,CC
c2a51c8c-c2ae-49da-a669-0c59022402c4,0.0,CC
