UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly,folder,sensitive_label,hash_value,span,button,sensitive_case1,sensitive_case2
a522e422-dad5-4045-a556-0718defe31b6,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531/,0.0,1.0,0.0,20200702_1,1.0,921f666a7a8c3b01516cabf91a0154e9bea82ff0,0.0,1.0,0.0,1.0
6b5b411a-7c7c-40c5-8dc1-c79eac4ad30b,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/df927a4c1764bf2099b261905a8e3b3b/,0.0,1.0,0.0,20200702_1,1.0,782a62ed119bfa980b93003b496143df8c3f5a89,0.0,1.0,0.0,1.0
802ec4db-65e1-4cc0-893d-f5f0fe231ef2,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/7006ca8df78b4db74361baa90eaa1331/,0.0,1.0,0.0,20200702_1,1.0,1d22665842096f6fab81cff84964e6a432cf485d,0.0,1.0,0.0,1.0
8c4daddb-a1e2-48e3-9de3-7707996627d6,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/9f8a975212a9e395bec4c0c8e3d86018/,0.0,1.0,0.0,20200702_1,1.0,829f19c43ed8501f4f5955f294691a265143494a,0.0,1.0,0.0,1.0
f52898ea-3e98-44ad-8025-b16318c973e2,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/70c16ad179de1994f534f88731be9d85/,0.0,1.0,0.0,20200702_1,1.0,b9aaa9763cae314ff5dd7523a304d510f8f1a041,0.0,1.0,0.0,1.0
25398306-18a8-4744-b5e6-bceefe06e809,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/c30f6ce58f22d7fdd1db619995ddf4d8/,0.0,1.0,0.0,20200702_1,1.0,8bdaba4444b1d02f601889f28441d5994d0094df,0.0,1.0,0.0,1.0
8cd92c12-3000-48bc-baba-0756661a392a,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/9eca20e9afde04f136e1a156bab4c913/,0.0,1.0,0.0,20200702_1,1.0,a3453284d79d7a0eda4ca2e6b6c3a6d60fa3fb6f,0.0,1.0,0.0,1.0
ffca52dc-99a1-4841-a810-f8da4e5b7183,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/70b9b079e0e878831212a4940911d13e/,0.0,1.0,0.0,20200702_1,1.0,a48e302c577cd5159dd3aa02bb8b8bc397eae034,0.0,1.0,0.0,1.0
286bdb72-9c1d-4a03-86da-466cc3802ded,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/6fd8864caf40ce02240d6f65a0590dce/,0.0,1.0,0.0,20200702_1,1.0,203e2a0a0a3409f07d4fc43129852f9c08af9f9c,0.0,1.0,0.0,1.0
7bd5a5b6-15fc-46a8-b0a4-937b808bd552,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/1642a19add2a3341371750e802378fa9/,0.0,1.0,0.0,20200702_1,1.0,fdc58ff03132db0a61cb2cc6a223924b5a08e553,0.0,1.0,0.0,1.0
